時間,濕度,溫度
myraspberry/led,2024-08-24 11:58:28,true
myraspberry/led,2024-08-24 11:58:28,false
myraspberry/led,2024-08-24 14:28:06,true
myraspberry/led,2024-08-24 14:28:07,false
myraspberry/led,2024-08-24 14:28:08,true
myraspberry/led,2024-08-24 14:28:09,false
myraspberry/led,2024-08-24 14:28:10,true
myraspberry/led,2024-08-24 14:28:10,false
myraspberry/led,2024-08-24 14:28:10,true
myraspberry/led,2024-08-24 15:22:48,true
myraspberry/led,2024-08-24 15:22:49,false
myraspberry/led,2024-08-24 15:22:50,true
myraspberry/led,2024-08-24 15:22:50,false
myraspberry/led,2024-08-24 15:22:51,true
myraspberry/led,2024-08-24 15:22:51,false
myraspberry/led,2024-08-24 15:22:51,true
myraspberry/led,2024-08-24 15:22:52,false
myraspberry/led,2024-08-24 15:22:52,true
myraspberry/led,2024-08-24 15:22:53,false
myraspberry/led,2024-08-24 15:22:53,true
myraspberry/led,2024-08-24 15:22:53,false
myraspberry/led,2024-08-24 15:22:53,true
myraspberry/led,2024-08-24 15:22:53,false
myraspberry/led,2024-08-24 15:22:53,true
myraspberry/led,2024-08-24 15:22:54,false
myraspberry/led,2024-08-24 15:22:54,true
myraspberry/led,2024-08-24 15:22:54,false
myraspberry/led,2024-08-24 15:22:54,true
myraspberry/led,2024-08-24 15:22:54,false
